golden_id,customer_tweet_id,customer_text_clean,human_intent,human_action,escalation_reason,annotation_notes,annotator_id,annotation_timestamp,status
golden_159,433050,Does anyone know how I can print to PDF within the mail app on iPad IOS 11? @AppleSupport Thanks in advance :),,,,,,,NEEDS_HUMAN_LABEL
golden_178,1076399,confused how I was given a new phone and my battery life is still trash,,,,,,,NEEDS_HUMAN_LABEL
golden_191,2523431,"I forgot my password to my iphone and i need to reset it. The recovery told me it would take 3 days for me to reset it, but I need to reset it now. I am studying abroad and I can not be without a phon in case of an emergency. What should I do?",,,,,,,NEEDS_HUMAN_LABEL
golden_042,2688139,My phone has like a 2 - 3 second delay between input and response to the input Idk what’s happening When I type then my phone freezes and then unfreezes and typing happens super fast Help aaaaaa @AppleSupport,,,,,,,NEEDS_HUMAN_LABEL
golden_012,1097772,It says “downloading” then it goes back to the cloud.,,,,,,,NEEDS_HUMAN_LABEL
golden_102,2547187,Y’all just gonna pretend that you don’t know about the glitches and freezes everybody has been experiencing ever since updating to IOS 11??,,,,,,,NEEDS_HUMAN_LABEL
golden_189,2731420,why does my iPhone always restart when I’m on Pandora listening to music?,,,,,,,NEEDS_HUMAN_LABEL
golden_184,2704256,Why the fuck haven't I got an email to reset my @115858 password yet if I've been trying to do it since this morning... #whatupsamsung #goodbyeiphone 🚮,,,,,,,NEEDS_HUMAN_LABEL
golden_014,1420601,So annoying! All my iCloud has gone!,,,,,,,NEEDS_HUMAN_LABEL
golden_046,1367051,"Thanks @AppleSupport, appreciate the advice. Pleasantly surprised: WatchOS 4 seems smooth & fast even on my ""Series Zero.""",,,,,,,NEEDS_HUMAN_LABEL
golden_121,2355072,Also when i click on a notification my music stops as well and when i use the 3D touch its stops too.,,,,,,,NEEDS_HUMAN_LABEL
golden_141,1514688,WHY TF ARE THESE UGLY ASS BOXES WITH QUESTIONS MARKS IN THEM POPPING UP 😑,,,,,,,NEEDS_HUMAN_LABEL
golden_040,1877182,"Too many UI bugs in ios11. Camera app, music app, homescreen!!",,,,,,,NEEDS_HUMAN_LABEL
golden_034,2974473,Wtf is this apple stop this fucking shit.Stop asking me to sign into a iCloud account that I don't even use anymore and why the heck should I even do it.It pops up every 10 seconds and ruined my days @AppleSupport How do I fix it? [URL],,,,,,,NEEDS_HUMAN_LABEL
golden_095,2800582,"Thanks, I am aware of the tips—iPhone owner since 2010. I think you are missing the point;this was not previously an issue until iOS 11.1.2",,,,,,,NEEDS_HUMAN_LABEL
golden_098,481845,my phone glitching when I type. I never had this problem until I updated it to this iOS 11.1.2🧐 either you fix it or you lost a customer 🙃,,,,,,,NEEDS_HUMAN_LABEL
golden_106,119483,can you tell me why the new updates now make my iphone6s die at 40% battery? Or if charged overnight to 100% it dies as soon as its unlocked,,,,,,,NEEDS_HUMAN_LABEL
golden_023,1329973,"How do i cancel my free 3 month subscription to itunes.I've downloaded songs,that i will pay for could you cancel it please.",,,,,,,NEEDS_HUMAN_LABEL
golden_156,944939,"A couple of weeks, my phone freezes/ turns the screen the wrong way even when screen rotation lock is on",,,,,,,NEEDS_HUMAN_LABEL
golden_094,1048063,"I can no longer access wallet by double pressing the home button with iOS 11? @AppleSupport workaround swipe up, click wallet then home.",,,,,,,NEEDS_HUMAN_LABEL
golden_195,402260,.@AppleSupport High Sierra doesn't work well with @7294 but Sierra has been removed from the app store :( I'm stuck on el capitan!,,,,,,,NEEDS_HUMAN_LABEL
golden_003,2299378,Also re-arranged that last tweet FIVE times because of the new @115858 update that’s turns “I️” INTO A FREAKING A,,,,,,,NEEDS_HUMAN_LABEL
golden_084,435799,Still no luck,,,,,,,NEEDS_HUMAN_LABEL
golden_176,2003553,👀👀👀👀👀👀 hate you fix this I️,,,,,,,NEEDS_HUMAN_LABEL
golden_154,2284088,My phone has been updated. The “I️” problem is still occuring. @AppleSupport fix this.,,,,,,,NEEDS_HUMAN_LABEL
golden_093,1081500,Thanks & does this work if it is not connected to a wifi?,,,,,,,NEEDS_HUMAN_LABEL
golden_050,2205975,do you like to give software updates for iPhones that disables the phone and u lose all your precious photos/videos?! FUMING. SORT IT OUT! You are one of the biggest brands in the world and you screw people's treasured memories up. I expect a response urgently.,,,,,,,NEEDS_HUMAN_LABEL
golden_016,2952380,"Just FYI, I’ve received 10 robocalls since yesterday, which claim my Apple account has been compromised. Caller ID reads “Apple Computer”. I’ve saved the audio recording if you want it.",,,,,,,NEEDS_HUMAN_LABEL
golden_015,2799471,"hey guys I keep getting this email, I believe it is a phishing email can you please advise. [URL]",,,,,,,NEEDS_HUMAN_LABEL
golden_079,1599706,Hi! Can I save my Apple Music Playlists for offline playback on my Apple Watch S3 (without LTE) with watchOS 4.1?,,,,,,,NEEDS_HUMAN_LABEL
golden_057,2440820,y’all charged my account $16.99 for absolutely nothing. Run me my refund please 😩,,,,,,,NEEDS_HUMAN_LABEL
golden_033,1866466,"WHY DOES MY PHONE DIE ON 80%!? My battery literally lasts 30 minutes. Pre-ios11, never had problems. @115858 I’m done w/ all your products.",,,,,,,NEEDS_HUMAN_LABEL
golden_100,1362538,is this page ok?! I’m locked out my account! [URL],,,,,,,NEEDS_HUMAN_LABEL
golden_019,1671300,unable to downgrade my iCloud service. Please help,,,,,,,NEEDS_HUMAN_LABEL
golden_146,720587,"having a hard time with battery life on my 8 Plus and 7 Plus running iOS 11.1, no improvement from 11.0.3...just progressively and significantly worse.",,,,,,,NEEDS_HUMAN_LABEL
golden_109,1081489,"11.0.3 yes, I turn it off, I leave my house and then if I pass somewhere I’ve connected to the WiFi before it turns itself back on",,,,,,,NEEDS_HUMAN_LABEL
golden_144,143514,"baby, my battery will literally go from 100 to 50 in 10 minutes. it's the software not my iphone (6s)",,,,,,,NEEDS_HUMAN_LABEL
golden_197,1185832,"iOS 11 sucks. Bad battery life, dropped calls, klunky, slow, etc. I’ve loved my iPhone until now. I’m about to switch to LG. Fix it!!",,,,,,,NEEDS_HUMAN_LABEL
golden_157,1273660,thanks for the international warranty..does the international warranty applicable if we buy a iphone 7 or 7 plus now?,,,,,,,NEEDS_HUMAN_LABEL
